iter	Passed	Remaining
0	166	166421
1	168	83854
2	168	56082
3	169	42148
4	169	33795
5	170	28206
6	171	24262
7	171	21278
8	172	18971
9	173	17197
10	175	15787
11	176	14566
12	178	13526
13	179	12607
14	179	11805
15	180	11118
16	181	10520
17	183	9985
18	184	9502
19	185	9082
20	186	8675
21	187	8330
22	188	8015
23	189	7708
24	190	7430
25	191	7170
26	192	6923
27	192	6696
28	193	6485
29	194	6287
30	195	6102
31	196	5932
32	197	5773
33	197	5618
34	198	5471
35	199	5331
36	199	5198
37	200	5073
38	201	4954
39	201	4840
40	202	4733
41	203	4634
42	203	4536
43	204	4444
44	205	4354
45	205	4268
46	206	4186
47	207	4108
48	207	4030
49	208	3957
50	208	3886
51	209	3820
52	210	3756
53	211	3696
54	211	3635
55	212	3576
56	212	3518
57	213	3463
58	213	3411
59	214	3359
60	214	3309
61	215	3261
62	216	3214
63	216	3167
64	217	3122
65	217	3079
66	218	3037
67	218	2993
68	218	2954
69	219	2915
70	219	2878
71	220	2841
72	220	2805
73	221	2770
74	221	2736
75	222	2703
76	222	2672
77	223	2642
78	224	2612
79	224	2582
80	225	2556
81	225	2528
82	226	2500
83	226	2472
84	227	2444
85	227	2418
86	227	2390
87	228	2366
88	228	2342
89	229	2319
90	229	2295
91	230	2273
92	230	2251
93	231	2229
94	231	2207
95	232	2187
96	232	2166
97	233	2146
98	233	2127
99	234	2108
100	234	2090
101	235	2069
102	235	2051
103	236	2033
104	236	2016
105	237	1999
106	237	1982
107	237	1965
108	238	1949
109	238	1933
110	239	1917
111	239	1901
112	240	1886
113	240	1872
114	241	1858
115	241	1843
116	242	1829
117	243	1816
118	243	1802
119	243	1788
120	244	1775
121	244	1762
122	245	1748
123	245	1735
124	246	1723
125	246	1710
126	247	1698
127	247	1684
128	247	1673
129	248	1662
130	248	1650
131	249	1639
132	249	1628
133	250	1617
134	250	1607
135	251	1596
136	251	1586
137	252	1574
138	252	1564
139	253	1554
140	253	1544
141	253	1534
142	254	1524
143	254	1515
144	255	1506
145	255	1497
146	256	1488
147	257	1479
148	257	1470
149	258	1462
150	258	1453
151	258	1444
152	259	1436
153	259	1428
154	260	1419
155	260	1411
156	261	1403
157	261	1395
158	262	1387
159	262	1380
160	263	1372
161	263	1365
162	264	1358
163	265	1351
164	265	1344
165	266	1336
166	266	1329
167	266	1322
168	267	1314
169	267	1307
170	268	1301
171	268	1294
172	269	1287
173	269	1280
174	270	1274
175	270	1267
176	271	1261
177	271	1255
178	272	1248
179	272	1243
180	273	1235
181	273	1230
182	274	1224
183	274	1218
184	275	1212
185	275	1206
186	276	1200
187	276	1195
188	277	1189
189	277	1184
190	278	1178
191	278	1173
192	279	1167
193	279	1162
194	280	1157
195	280	1151
196	281	1146
197	281	1141
198	282	1135
199	282	1131
200	283	1126
201	283	1121
202	284	1116
203	284	1111
204	285	1106
205	285	1101
206	286	1096
207	286	1092
208	287	1087
209	287	1083
210	288	1078
211	288	1073
212	289	1069
213	289	1064
214	290	1059
215	290	1055
216	291	1050
217	291	1046
218	292	1041
219	292	1037
220	293	1033
221	293	1029
222	294	1024
223	294	1020
224	295	1016
225	295	1012
226	296	1008
227	296	1004
228	297	1000
229	297	996
230	298	992
231	298	988
232	299	984
233	299	980
234	300	976
235	300	973
236	301	969
237	301	965
238	302	962
239	302	958
240	303	955
241	303	951
242	304	947
243	304	944
244	305	940
245	305	936
246	306	933
247	306	929
248	307	926
249	307	922
250	308	919
251	308	915
252	308	912
253	309	909
254	310	906
255	310	902
256	311	899
257	311	896
258	312	893
259	312	889
260	313	886
261	313	883
262	314	880
263	314	877
264	315	874
265	315	871
266	316	867
267	316	864
268	316	861
269	317	858
270	318	855
271	318	852
272	319	849
273	319	846
274	319	843
275	320	840
276	320	837
277	321	834
278	321	832
279	322	829
280	322	826
281	323	823
282	323	820
283	324	817
284	324	815
285	325	812
286	325	809
287	326	806
288	326	804
289	327	801
290	327	798
291	328	795
292	328	792
293	328	789
294	329	787
295	329	784
296	330	781
297	330	778
298	331	776
299	331	773
300	331	770
301	332	768
302	333	766
303	333	763
304	333	760
305	334	758
306	334	755
307	335	753
308	335	750
309	335	747
310	336	745
311	336	742
312	337	740
313	337	737
314	338	735
315	338	732
316	338	730
317	339	727
318	339	725
319	340	723
320	340	721
321	341	718
322	341	716
323	342	714
324	342	711
325	343	709
326	343	707
327	343	704
328	344	702
329	344	700
330	345	697
331	345	695
332	346	693
333	346	690
334	346	688
335	347	686
336	348	684
337	348	682
338	348	680
339	349	678
340	349	675
341	350	673
342	350	671
343	350	669
344	351	667
345	351	664
346	352	662
347	352	660
348	353	658
349	353	656
350	353	654
351	354	652
352	354	650
353	355	648
354	355	646
355	356	644
356	356	642
357	357	640
358	357	638
359	358	636
360	358	634
361	358	632
362	359	630
363	359	628
364	360	626
365	360	624
366	360	622
367	361	620
368	361	618
369	362	616
370	362	615
371	363	613
372	363	611
373	364	609
374	364	607
375	365	605
376	365	603
377	365	602
378	366	600
379	366	598
380	367	596
381	367	594
382	367	592
383	368	590
384	368	589
385	369	587
386	369	585
387	370	583
388	370	582
389	371	580
390	371	579
391	372	577
392	372	575
393	373	573
394	373	572
395	373	570
396	374	568
397	374	566
398	375	565
399	375	563
400	376	561
401	376	559
402	376	558
403	377	556
404	377	554
405	378	553
406	378	551
407	379	550
408	379	548
409	380	546
410	380	545
411	380	543
412	381	542
413	381	540
414	382	538
415	382	537
416	383	535
417	383	533
418	383	532
419	384	530
420	384	528
421	384	527
422	385	525
423	386	524
424	386	523
425	387	521
426	387	520
427	388	518
428	388	517
429	388	515
430	389	514
431	389	512
432	390	511
433	390	509
434	391	508
435	391	506
436	392	505
437	392	503
438	393	502
439	393	500
440	394	499
441	394	498
442	395	496
443	395	495
444	396	494
445	396	492
446	397	491
447	397	489
448	398	488
449	398	487
450	399	485
451	399	484
452	400	483
453	400	481
454	401	480
455	401	479
456	402	477
457	402	476
458	403	475
459	403	474
460	404	472
461	404	471
462	405	470
463	405	468
464	406	467
465	406	466
466	407	464
467	407	463
468	408	462
469	409	461
470	409	459
471	410	458
472	410	457
473	410	456
474	411	454
475	411	453
476	412	452
477	412	450
478	413	449
479	413	448
480	414	447
481	414	445
482	415	444
483	415	442
484	416	441
485	416	440
486	417	439
487	417	438
488	418	437
489	418	435
490	419	434
491	419	433
492	419	431
493	420	430
494	420	429
495	421	427
496	421	426
497	421	425
498	422	424
499	422	422
500	423	421
501	423	420
502	424	419
503	424	418
504	425	416
505	425	415
506	426	414
507	426	413
508	427	411
509	427	410
510	427	409
511	428	408
512	428	407
513	429	405
514	429	404
515	430	403
516	430	402
517	430	401
518	431	399
519	432	398
520	432	397
521	432	396
522	433	395
523	433	394
524	434	392
525	434	391
526	434	390
527	435	389
528	435	388
529	436	386
530	436	385
531	437	384
532	437	383
533	437	382
534	438	380
535	438	379
536	439	378
537	439	377
538	440	376
539	440	375
540	441	374
541	441	373
542	441	371
543	442	370
544	442	369
545	443	368
546	443	367
547	444	366
548	444	365
549	444	363
550	445	362
551	445	361
552	446	360
553	446	359
554	447	358
555	447	357
556	448	356
557	448	355
558	449	354
559	449	353
560	450	352
561	450	351
562	451	350
563	451	349
564	451	347
565	452	346
566	452	345
567	453	344
568	453	343
569	454	342
570	454	341
571	455	340
572	455	339
573	456	338
574	456	337
575	457	336
576	457	335
577	458	334
578	458	333
579	459	332
580	459	331
581	459	330
582	460	329
583	460	328
584	461	327
585	461	326
586	462	325
587	462	324
588	463	323
589	463	322
590	464	321
591	464	320
592	464	319
593	465	317
594	465	316
595	466	315
596	466	314
597	466	313
598	467	312
599	467	311
600	468	310
601	468	309
602	469	308
603	469	307
604	469	306
605	470	305
606	470	304
607	471	303
608	471	302
609	472	301
610	472	300
611	472	299
612	473	298
613	473	297
614	474	296
615	474	295
